,LON,LAT,도로명
374,127.1499714,37.49601856,서울 송파구 마천로 303
375,127.1485437,37.49684928,서울 송파구 마천로 287
376,127.1239191,37.51098021,서울 송파구 위례성대로16길 22
377,127.1113215,37.51638796,서울 송파구 올림픽로34길 5-13
378,127.1343057,37.51541621,서울 송파구 양재대로 1232
379,127.1281017,37.50297483,서울 송파구 중대로25길 5
380,127.109317,37.50622291,서울 송파구 백제고분로 392
381,127.1167664,37.50233785,서울 송파구 송이로 32
382,127.1036674,37.50356463,서울 송파구 백제고분로37길 16
383,127.0925197,37.50272334,서울 송파구 백제고분로 236
384,127.1217677,37.49558427,서울 송파구 송파대로28길 39
385,127.1098546,37.49650236,서울 송파구 양재대로 925
386,127.1266401,37.49869843,서울 송파구 중대로20길 6
387,127.1241832,37.49013517,서울 송파구 동남로 116
388,127.1109124,37.48989519,서울 송파구 중대로 16
389,127.132509,37.48702126,서울 송파구 새말로19길 6
390,127.144257,37.48114824,서울 송파구 위례광장로 210
391,127.0843265,37.50615329,서울 송파구 백제고분로15길 9
392,127.0885406,37.51191664,서울 송파구 올림픽로 159
393,127.0943833,37.51332489,서울 송파구 잠실로 51-31
394,127.1122265,37.52023619,서울 송파구 올림픽로35길 16
395,127.1006605,37.51812746,서울 송파구 올림픽로35길 120
396,127.0769664,37.50866852,서울 송파구 올림픽로4길 17
397,127.1739197,37.56494469,서울 강동구 아리수로93길 9-14
398,127.146072,37.54980154,서울 강동구 양재대로138길 37
399,127.1513713,37.54633593,서울 강동구 상암로 260
400,127.1514975,37.55725946,서울 강동구 양재대로156길 123
401,127.164366,37.56052548,서울 강동구 아리수로78길 43-12
402,127.1325744,37.55145458,서울 강동구 올림픽로98가길 57
403,127.1272413,37.55174877,서울 강동구 상암로3길 28
404,127.1407235,37.55506716,서울 강동구 고덕로 137
405,127.136821,37.54495534,서울 강동구 구천면로42길 59
406,127.1254303,37.54345071,서울 강동구 올림픽로 698
407,127.1331231,37.53610184,서울 강동구 천호대로 1089
408,127.1224218,37.53047946,서울 강동구 성내로 13
409,127.1295572,37.53243964,서울 강동구 풍성로37가길 62
410,127.1328993,37.52605684,서울 강동구 강동대로53길 76
411,127.1427123,37.53448686,서울 강동구 천호대로 1183
